======================================================================
  ToSort Toolkit - Recognised ROM/Emulator File Extensions
  Alphabetical Reference (generated from api.py ROM_EXTS)
======================================================================
  Total: 348 extensions

  Extension        System / Format
  --------------   ---------------------------------------------
  .$b              ZX Microdrive
  .$c              ZX Microdrive
  .$t              ZX Microdrive
  .$u              ZX Microdrive
  .$w              ZX Microdrive
  .$x              ZX Microdrive
  .$z              ZX Microdrive
  .1dd             Floppy disk image (1DD)
  .2d              Japanese PC floppy
  .2hd             Japanese PC floppy
  .2mg             Apple II disk image
  .2sf             NDS music rip
  .32x             Sega 32X
  .3ds             Nintendo 3DS
  .3dsx            Nintendo 3DS homebrew
  .669             Composer 669 tracker
  .88d             PC-88 floppy
  .a22             TRS-80 / misc 8-bit
  .a26             Atari 2600
  .a2r             Apple II flux
  .a52             Atari 5200
  .a78             Atari 7800
  .abs             Atari Jaguar ABS
  .ace             Jupiter Ace / Camputers Lynx
  .adf             Amiga/BBC disk
  .adl             Acorn/BBC disk
  .adm             Acorn/BBC disk
  .agb             Game Boy Advance
  .ahx             Amiga AHX tracker
  .aif             Audio (tape capture)
  .app             TRS-80 / misc application
  .arc             Acorn Archimedes
  .arduboy         Arduboy ROM
  .ark             Acorn RISC OS
  .asm             Assembly source (TOSEC)
  .asy             Misc 8-bit
  .atr             Atari 8-bit disk
  .atx             Atari 8-bit disk (extended)
  .ay              ZX Spectrum AY chip music
  .bac             TRS-80 / misc 8-bit
  .bas             BASIC source (multi-system)
  .baz             Floppy disk format
  .bbc             BBC Micro
  .bee             Aamber Pegasus / Microbee
  .bin             Generic binary ROM / Mega Drive
  .bios            BIOS file
  .bjl             Atari Jaguar BJL
  .bkp             Robotron / KC85 backup
  .bs5             Misc 8-bit
  .c64             Commodore 64
  .caq             TRS-80 CoCo
  .car             Atari 8-bit cartridge
  .cas             Atari 8-bit / Dragon tape
  .ccd             Clone CD image
  .cci             Nintendo 3DS
  .cdt             Amstrad CPC tape
  .cgd             Dragon CoCo
  .chd             MAME/arcade CHD
  .cia             Nintendo 3DS CIA
  .cjr             TRS-80 / misc 8-bit
  .cmd             Commodore / misc command
  .cmt             Tape image (generic)
  .cof             Atari Jaguar COFF
  .col             ColecoVision
  .com             CP/M executable
  .cp2             Disk image format
  .cpc             Amstrad CPC / CPC music
  .cpm             CP/M disk
  .cpr             Amstrad CPC cartridge
  .cram            Robotron compressed RAM
  .crt             C64 cartridge
  .cso             PSP compressed ISO
  .csw             ZX Spectrum compressed tape
  .cv              ColecoVision
  .cxi             Nintendo 3DS
  .d13             Apple II 13-sector
  .d2m             Commodore 1571
  .d40             Commodore 1540
  .d4m             Commodore 1571
  .d64             Commodore 64 disk
  .d71             Commodore 128 disk
  .d77             PC-88 floppy
  .d80             Commodore 8050
  .d81             Commodore 128 disk
  .d88             PC-88 floppy
  .dai             DAI Personal Computer
  .dax             PSP DAX
  .dbm             Amiga DigiBooster
  .dc              Dreamcast
  .dck             Mattel Aquarius / misc
  .dcp             Disk image
  .ddp             Atari ST data dump
  .dfi             DiscFerret flux image
  .dgn             Dragon 32/64
  .dim             Floppy disk image
  .dmf             Deflemask tracker
  .dmk             TRS-80 / CoCo disk
  .dmp             Memory dump
  .dms             Amiga Disk Masher
  .dol             GameCube/Wii homebrew
  .dsd             BBC Micro double-sided
  .dsf             Dreamcast music rip
  .dsi             Nintendo DSi
  .dsk             Multi-system floppy
  .dtf             Enterprise 128
  .ecb             Misc 8-bit
  .ecm             ECM compressed disc
  .edd             Apple II / floppy
  .elf             ARM/Linux executable ROM
  .ent             Misc 8-bit
  .ep128s          Enterprise 128 snapshot
  .far             Farandole tracker
  .fbt             VTech / misc
  .fc13            Future Composer 1.3
  .fc14            Future Composer 1.4
  .fd              Thomson / generic floppy
  .fdd             Floppy disk image
  .fdi             Floppy disk image
  .fds             Famicom Disk System
  .fig             Super Nintendo
  .fla             Flash save
  .formzt          Sharp MZ format
  .fpk             Misc 8-bit pack
  .fsd             BBC Micro floppy
  .g64             C64 disk (nibble)
  .gal             Galaksija
  .gb              Game Boy
  .gba             Game Boy Advance
  .gbc             Game Boy Color
  .gbs             Game Boy music rip
  .gbx             Game Boy extended
  .gcm             GameCube disc
  .gcz             GameCube compressed
  .gdi             Dreamcast GDI
  .gen             Sega Mega Drive
  .gg              Sega Game Gear
  .gsf             GBA music rip
  .gtp             Galaksija tape
  .gym             Sega Genesis/MD music
  .hdf             Amiga hard disk
  .hdm             Japanese PC floppy
  .hdv             Apple II hard disk volume
  .hes             PC Engine music rip
  .hex             Intel HEX (Arduboy etc)
  .hfe             HxC floppy emulator
  .hsc             AdLib HSC music
  .hvl             Amiga HivelyTracker
  .hxcstream       HxC stream flux
  .ihx             Intel HEX
  .ima             DOS floppy image
  .imd             ImageDisk floppy
  .img             Generic disc/floppy image
  .imz             Compressed floppy image
  .int             Intellivision
  .ipf             Amiga/SPS disk
  .iso             Disc image (ISO 9660)
  .it              Impulse Tracker music
  .jag             Atari Jaguar
  .jfd             Japanese floppy disk
  .jrc             Misc 8-bit
  .k7              Thomson MO/TO tape
  .ksm             AdLib KSM music
  .kss             MSX/Sega music
  .l3              Misc 8-bit
  .l3b             Misc 8-bit
  .l3c             Misc 8-bit
  .lbr             CP/M library archive
  .lds             AdLib LDS music
  .lib             Library file (TOSEC)
  .lnx             Atari Lynx
  .lyx             Atari Lynx
  .m7              Thomson MO7
  .mac             Macintosh disk image
  .mcr             Memory card save
  .md              Sega Mega Drive
  .mdf             Disc image (Alcohol)
  .mdr             ZX Microdrive cartridge
  .mds             Disc image descriptor
  .mdv             Sinclair QL Microdrive
  .med             Amiga MED/OctaMED
  .mfm             MFM flux image
  .mgt             ZX DISCiPLE/+D
  .min             No-Intro minimal ROM
  .mini2sf         NDS music (lib)
  .minidsf         Dreamcast music (lib)
  .minigsf         GBA music (lib)
  .minipsf         PS1 music (lib)
  .minipsf2        PS2 music (lib)
  .minissf         Saturn music (lib)
  .miniusf         N64 music (lib)
  .mod             Amiga ProTracker module
  .mtm             MultiTracker module
  .mtx             Memotech MTX
  .mx1             MSX ROM
  .mx2             MSX2 ROM
  .mzf             Sharp MZ tape
  .n64             -- (uncategorised)
  .nas             Nascom
  .ndd             Nintendo 64DD
  .nds             Nintendo DS
  .nes             Nintendo NES
  .nfd             Japanese PC floppy
  .ngc             Neo Geo Pocket Color
  .ngp             Neo Geo Pocket
  .nib             C64 nibble disk
  .nsf             NES music rip
  .nsfe            NES music (extended)
  .nsp             Nintendo Switch
  .o2              Odyssey 2
  .oct             Amiga OctaMED
